FECHA_AMB;Valor_AMB
27/08/2019 15:00;19.2
27/08/2019 16:00;15
27/08/2019 17:00;18.3
27/08/2019 18:00;24.5
27/08/2019 19:00;22
27/08/2019 20:00;17.5
27/08/2019 21:00;17
27/08/2019 22:00;16.3
27/08/2019 23:00;16.4
28/08/2019 0:00;16.8
28/08/2019 1:00;10.9
28/08/2019 2:00;6.5
28/08/2019 3:00;6.8
28/08/2019 4:00;6.5
28/08/2019 5:00;7.5
28/08/2019 6:00;8.6
28/08/2019 7:00;19.6
28/08/2019 8:00;14.3
28/08/2019 9:00;15
28/08/2019 10:00;11.1
28/08/2019 11:00;10.2
28/08/2019 12:00;7.9
28/08/2019 13:00;10.1
28/08/2019 14:00;11.1
28/08/2019 15:00;11.3
28/08/2019 16:00;12.2
28/08/2019 17:00;13.9
28/08/2019 18:00;15.8
28/08/2019 19:00;15.3
28/08/2019 20:00;13.5
28/08/2019 21:00;12.9
28/08/2019 22:00;13
28/08/2019 23:00;14.3
29/08/2019 0:00;12.1
29/08/2019 1:00;12.4
29/08/2019 2:00;11.7
29/08/2019 3:00;9.8
29/08/2019 4:00;9.2
29/08/2019 5:00;14.5
29/08/2019 6:00;19.1
29/08/2019 7:00;25.6
29/08/2019 8:00;22.4
29/08/2019 9:00;25.8
29/08/2019 10:00;20.1
29/08/2019 11:00;11.3
29/08/2019 12:00;10.7
29/08/2019 13:00;10
29/08/2019 14:00;11.2
29/08/2019 15:00;9.6
29/08/2019 16:00;15.2
29/08/2019 17:00;20.1
29/08/2019 18:00;15.3
29/08/2019 19:00;15.2
29/08/2019 20:00;14.7
29/08/2019 21:00;14.6
29/08/2019 22:00;15.6
29/08/2019 23:00;14.5
30/08/2019 0:00;14.5
30/08/2019 1:00;15.4
30/08/2019 2:00;15.8
30/08/2019 3:00;16.8
30/08/2019 4:00;21.2
30/08/2019 5:00;21.1
30/08/2019 6:00;23.4
30/08/2019 7:00;27.2
30/08/2019 8:00;20.6
30/08/2019 9:00;15.6
